,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
189,Indeciso,Reik,4897374,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
190,Tutu,Camilo,4897181,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
191,"High Hopes","Panic! At The Disco",4883343,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
192,"No Guidance (feat. Drake)","Chris Brown",4876529,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
193,"i love you","Billie Eilish",4863910,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
194,"Be Alright","Dean Lewis",4856342,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
195,"The Less I Know The Better","Tame Impala",4853131,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
196,Mejor,Dalex,4851895,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
197,"SLOW DANCING IN THE DARK",Joji,4825540,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
198,"Soltera - Remix",Lunay,4809360,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
199,Infeliz,Arcangel,4802236,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
200,"Call Out My Name","The Weeknd",4781481,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
